id;text;link;comp;loc;desc;pub
p_e3c8e6f12f8cb8f6;senior project manager;/rc/clk?jk=e3c8e6f12f8cb8f6&fccid=f8b265243da9f9d7&vjs=3;Randstad;Penang Island;Minimum 8 years of management experience working for a developer. I represent one of the most influential property developers in the Klang Valley who are...;1 day ago
p_a8468405aebcfd71;Front End Developer;/company/Einnity-Technology-Sdn-Bhd/jobs/Front-End-Developer-a8468405aebcfd71?fccid=12b8b0e5de556eaf&vjs=3;IT Solution;Petaling Jaya;* Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Software Engineering or equivalent. * At least 1 Year(s) of...;2 days ago
p_b89333b59c8de006;Web Application developer;/rc/clk?jk=b89333b59c8de006&fccid=d387c73f8bc478ef&vjs=3;Кота Груп;Kuala Lumpur;Our client is a leading global creative ecosystem powered by design, technological innovation, and entrepreneurship. Job Description: A spark of imagination...;2 days ago
p_9fbd57836874dbae;IT Software Developer;/rc/clk?jk=9fbd57836874dbae&fccid=f6539fb69d23311b&vjs=3;Westports;Port Klang;The Job Provide IT solutions to users Develop software of good quality within allocated time Work within a team on new program development and maintenance of...;2 days ago
p_31d76bbf61af49b2;Test Developer Engineer;/company/MMC/jobs/Test-Developer-Engineer-31d76bbf61af49b2?fccid=41843626968cf2e0&vjs=3;MMC;Kuala Lumpur;* *Test package generationfor new products with lower complexity (software &/or hardware development).  Test package optimization & sustainingand/or sub...;2 days ago
p_f123c0a09507aaf1;IT Developer;/company/JEV-Management-Sdn-Bhd/jobs/IT-Developer-f123c0a09507aaf1?fccid=c0a7a598615b4326&vjs=3;JEV Management Sdn Bhd;Sri Hartamas;* Salary 3k * Working Hours: Mon - Fri 10am-7pm  Accommodation provided* for relocation  Young and Energetic* working environment  Super friendly* BOSS...;2 days ago
p_7e88c77cfd444459;System Analyst - Malaysians Only;/company/Tentacle-Technologies-MSC-Sdn.-Bhd/jobs/System-Analyst-7e88c77cfd444459?fccid=8cf69b6fccacea86&vjs=3;Tentacle Technologies MSC Sdn. Bhd;Subang Jaya;Working closely with SME, developers, testers and a variety of end users to ensure technical compatibility and user satisfaction*....;2 days ago
p_140a6b802e8555d0;M&E Contract Manager;/company/TALENTC/jobs/M&E-Contract-Manager-140a6b802e8555d0?fccid=ffcd631763980275&vjs=3;TalentC Recruit;Shah Alam;Abilities to strategize against competitors and are well connected with consultants, developers and assets owners is an advantage....;2 days ago
p_a0bcc38ccd783947;Hadoop ETL Developer;/company/Ambition-Group-Malaysia-Sdn-Bhd/jobs/Hadoop-ETL-Developer-a0bcc38ccd783947?fccid=1380b5cb2e603049&vjs=3;Ambition Group Malaysia Sdn Bhd;Kuala Lumpur;A well-renowned financial institution seeks for Hadoop ETL Developer. Great work environment....;2 days ago
p_c568215829e09f44;Data Scientist - Internship;/rc/clk?jk=c568215829e09f44&fccid=dba56d9b49ce0c06&vjs=3;iPrice group;Kuala Lumpur;With the support of our data scientist and developers you will work on scraping data and building machine learning algorithms to help with categorization and...;2 days ago
p_5ecb89e2787dfb8c;Salesforce Developer;/company/TTMS-Software-Sdn-Bhd/jobs/Salesforce-Developer-5ecb89e2787dfb8c?fccid=b68b78f2dbbf3d58&vjs=3;TTMS Software Sdn Bhd;Subang Jaya;We are looking for few vacancies for SalesForce Developer. A Salesforce developer must possess strong knowledge of Visualforce and Salesforce development with...;2 days ago
p_7b0cbe24c3eed170;BUILDING SUPERVISOR;/company/ECS/jobs/Building-Supervisor-7b0cbe24c3eed170?fccid=743ef990b9cdfd11&vjs=3;AFZ PROPERTY;Shah Alam;To attend meetings with Developer or committee and submit meeting minutes and monthly reports timely. The candidate most possess leadership, diplomatic and...;2 days ago
p_76bc61de83e7326b;Salesforce Developer;/rc/clk?jk=76bc61de83e7326b&fccid=24a3456d3ce2ad08&vjs=3;ResMed;Kuala Lumpur;Salesforce Certified Platform Developer 2 – Required. As our SalesForce Developer, you will be responsible for tasks such as:....;2 days ago
p_e0e2aa391e6e7038;Mobile App Developer (Android);/company/B2BE-GSS-Sdn-Bhd/jobs/Mobile-Application-Developer-e0e2aa391e6e7038?fccid=14c652653e8359d1&vjs=3;B2BE GSS Sdn Bhd;Petaling Jaya;"Working closely with stakeholder including web developers, project manager and business user to conceptualize, build, test and materialised mobile application;...";2 days ago
p_f1e635805e81b308;Mobile apps developer & UIUX Designer (Intenship);/rc/clk?jk=f1e635805e81b308&fccid=754b863806882674&vjs=3;DD Online Services & Enterprise;Johor Bahru;Mobile apps developer & UIUX Designer 【JB-Desa Tebrau】. Candidate must posses at least Diploma in Computer Science, Information Technology or equivalent....;2 days ago
p_18d8a05448ae0e4e;Manager - Interior Design Projects (Design & Build);/company/Mellooi-Creation-Sdn-Bhd/jobs/Manager-18d8a05448ae0e4e?fccid=2c644cf6700f3c47&vjs=3;Melinda Looi Group - Bangsar;Kuala Lumpur;Worked in an ID or architecture or developer company? We think long term & always aim to exceed our *customers expectations...do you?....;2 days ago
