id;text;link;comp;loc;desc;pub
p_8904f82b68009e3e;Project Engineer-Electrical;/company/DPI-Industries-Sdn-Bhd/jobs/Project-Engineer-Electrical-8904f82b68009e3e?fccid=4652edef745ab715&vjs=3;Ozlux Sdn Bhd;Kuala Lumpur;Using computer-aided design/modelling software. Assessing project requirements....;2 days ago
p_7528d825b1b6fe0e;Project Engineer (Biometrics);/company/CTI-Resources-Sdn-Bhd/jobs/Project-Engineer-7528d825b1b6fe0e?fccid=482e875dafa1bfc5&vjs=3;CTI Resources Sdn Bhd;Shah Alam;To provide prompt technical support, training on systems and software to end users. To handle projects schedule for deployment at customer site....;2 days ago
p_db5b0f90b4d79131;PIPELINE ENGINEER;/rc/clk?jk=db5b0f90b4d79131&fccid=cd36fd752474c09a&vjs=3;Genesis Oil and Gas;Kuala Lumpur;Analysis will be performed using advanced finite element software programs. Hands-on experience in pipeline design software – DNV-OS-F-101 spreadsheet, AGA,...;2 days ago
p_02643e1a8b8f121d;PIPELINE ENGINEER;/rc/clk?jk=02643e1a8b8f121d&fccid=1f21273599e9ffba&vjs=3;TechnipFMC;Kuala Lumpur;Analysis will be performed using advanced finite element software programs. Hands-on experience in pipeline design software – DNV-OS-F-101 spreadsheet, AGA,...;2 days ago
p_31d76bbf61af49b2;Test Developer Engineer;/company/MMC/jobs/Test-Developer-Engineer-31d76bbf61af49b2?fccid=41843626968cf2e0&vjs=3;MMC;Kuala Lumpur;Passionate on hardware and software development/design. Test package generation*for new products with lower complexity (software &/or hardware development)....;2 days ago
p_94d4ecac214a619f;Application Engineer;/company/CTI-Resources-Sdn-Bhd/jobs/Application-Engineer-94d4ecac214a619f?fccid=482e875dafa1bfc5&vjs=3;CTI Resources Sdn Bhd;Shah Alam;Strong interest in software development. Design, develop and implement IoT, Scada, Alarm & Energy Management, Manufacturing Operation Management (MOM), MES...;2 days ago
p_d7c3c96e778541b4;QC Inspector;/company/SPHINX-PRECISION-SDN-BHD/jobs/Qualitycontrol-Inspector-d7c3c96e778541b4?fccid=ce267d48ce0a7fab&vjs=3;SPHINX PRECISION SDN BHD;Puchong;PC literate and able to use Microsoft Office package software. To assist Quality Engineer by preparing FAI inspection data and report during new product...;2 days ago
p_a5a24e27b17818b9;Drafter/Draughtsman;/company/Enviroterm-Sdn-Bhd/jobs/Drafter-Draughtsman-a5a24e27b17818b9?fccid=23f3fdb5b28ae3e1&vjs=3;Enviroterm Sdn Bhd;Seri Kembangan;Assist and coordinate with engineers. Design plans using computer-aided design and drafting (CAD) software. Help develop process design into technical drawing....;2 days ago
p_6cd33025df03d202;Tooling Engineer, GE Aviation;/rc/clk?jk=6cd33025df03d202&fccid=27ada4cf9c9520fb&vjs=3;Adicio;Subang Jaya;By combining world-class engineering with software and analytics, GE helps the world work more efficiently, reliably, and safely....;2 days ago
p_2610547cbc818bae;Program Engineer;/company/Asia-CC/jobs/Program-Engineer-2610547cbc818bae?fccid=783aab24a7bf9929&vjs=3;DD Online Services & Enterprise;Johor Bahru;To Organize & Perform backup plan of production automated machineries software. Responsible to manage all kind of programming for all projects in Engineering...;2 days ago
p_21fcc56f494a798e;LEAD FLOW ASSURANCE ENGINEER;/rc/clk?jk=21fcc56f494a798e&fccid=cd36fd752474c09a&vjs=3;Genesis Oil and Gas;Kuala Lumpur;Good computer literacy with particular competence in MS office software. Purpose of Job:....;2 days ago
p_c48c08ed071ed223;LEAD FLOW ASSURANCE ENGINEER;/rc/clk?jk=c48c08ed071ed223&fccid=1f21273599e9ffba&vjs=3;TechnipFMC;Kuala Lumpur;Good computer literacy with particular competence in MS office software. Purpose of Job:....;2 days ago
p_4443bce3b1b5424c;Senior Test Engineer;/rc/clk?jk=4443bce3b1b5424c&fccid=4e090bf1ff0c7410&vjs=3;SWIFT;Kuala Lumpur;Testing of in-house developed applications to assure highest quality software delivery. Candidate with more than 5 years of experience in software automation...;2 days ago
p_75385fec237deac9;Sr. Full Stack Engineer (.NET);/rc/clk?jk=75385fec237deac9&fccid=91d8a06745f3eb33&vjs=3;Cheetah Digital;Kuala Lumpur;Work through all phases of the software development life cycle, including analysis, design, implementation, testing, deployment, and maintenance....;2 days ago
p_8f9e698468216e34;Sr. Full Stack Engineer (UI/UX);/rc/clk?jk=8f9e698468216e34&fccid=91d8a06745f3eb33&vjs=3;Cheetah Digital;Kuala Lumpur;Work through all phases of the software development life cycle, including analysis, design, implementation, testing, deployment, and maintenance....;2 days ago
p_ac299046bfb041b8;Senior Software Engineer - Melaka;/company/ORG-Resources/jobs/Senior-Software-Engineer-ac299046bfb041b8?fccid=f0f3cb116e80dca5&vjs=3;ORG Resources;Melaka;Execute software development life cycles,. Implement solution/fix for reported software issues. Work with Product, Hardware engineering, and Software QA...;2 days ago
p_da2ce65d0a97f024;IT Engineer;/rc/clk?jk=da2ce65d0a97f024&fccid=bde9cb1689be5ae5&vjs=3;EPS Malaysia;Kuala Lumpur;Ensure software licence compliance. Provide support to end users on all PC, printer, software and network problem. Base + Bonus....;2 days ago
p_c5db91714fe9c892;Product Operations Engineer;/rc/clk?jk=c5db91714fe9c892&fccid=0918a251e6902f97&vjs=3;DELL;Bukit Mertajam;Develop BOM Structures and Ordering Instructions to integrate CFI custom Hardware, Software and Asset Services requirements into the factory environment....;2 days ago
p_f62a3bf2d2cd95bb;Software Engineer;/rc/clk?jk=f62a3bf2d2cd95bb&fccid=4db2033cccf161b6&vjs=3;Yuvasun Gravity Enterprise;Simpang Ampat;About The JobThe primary role of the Software Engineer is to develop software applications that would be used by the Company or the Group to support its...;2 days ago
