id;text;link;comp;loc;desc;pub
p_146f1c40d00b91f0;Data Scientist;/company/Trakomatic-Pte-Ltd/jobs/Data-Scientist-146f1c40d00b91f0?fccid=5dc2536e56413a3b&vjs=3;Trakomatic Pte Ltd;Kuala Lumpur;Proven history working of data integration with SQL, as well as within a statistical programming language such as R or Python in a for-profit setting....;5 days ago
p_5300b7faacbec74c;Business Intelligence Internship;/rc/clk?jk=5300b7faacbec74c&fccid=dba56d9b49ce0c06&vjs=3;iPrice group;Kuala Lumpur;Knowledge of Python, R or other coding languages a plus. Our mission is to become the largest lead generator for e-commerce in South East Asia....;5 days ago
p_b67dd73f4b3daaa7;Software Engineer;/rc/clk?jk=b67dd73f4b3daaa7&fccid=95175e86eb232843&vjs=3;Select TV;Kuala Lumpur;Java / Python / C / C++programming (or BASIC). To be based in Kuala Lumpur / Selangor....;5 days ago
p_8e05971e6cdfb284;Security Analyst;/rc/clk?jk=8e05971e6cdfb284&fccid=a04c79de88d57fb5&vjs=3;Mindvalley;Kuala Lumpur;Familiarity with programming / scripting languages (Ruby, Python, Javascript). By joining the Technology team as a Security Analyst, you’ll be one of the key...;5 days ago
p_94b343fe8468d61e;Business Intelligence Internship;/rc/clk?jk=94b343fe8468d61e&fccid=16a2fd7c5035661c&vjs=3;Iprice Group Sdn Bhd;Kuala Lumpur;Knowledge of Python, R or other coding languages a plus. Our mission is to become the largest lead generator for e-commerce in South East Asia....;5 days ago
p_acb43b27a5748233;Experienced Web UI Developer;/rc/clk?jk=acb43b27a5748233&fccid=c48968f2e48f4ae9&vjs=3;IntroPro;George Town;Responsibilities Web UI development using current tools, frameworks, and technologies: - Angular 4+, Typescript, Node.js, jQuery/javascript - HTML5, CSS,...;5 days ago
p_5e3f992fcbef1e8d;Python (Django) Web Developer;/rc/clk?jk=5e3f992fcbef1e8d&fccid=b24a6f8f83ae5684&vjs=3;Tech Lab;Petaling Jaya;Proficiency in Python, Django/Flask (or any other python frameworks), SQL database, HTML/CSS, Javascript, asynchronous web request and API implementations....;5 days ago
p_5af53313cc2c314e;Data Engineer;/rc/clk?jk=5af53313cc2c314e&fccid=cac655e1e12957c5&vjs=3;AP ExecSearch SDN BHD;Kuala Lumpur;Responsibilities: Build and maintain data structures and databases Design data processing systems Analyze data and enable machine learning Model business...;5 days ago
p_78260c58b940ecb2;Engineering - Developer Experience (DX);/rc/clk?jk=78260c58b940ecb2&fccid=56bc44b283400bfd&vjs=3;Fave Group Pte Ltd;Kuala Lumpur;Experience with coding in Python, Ruby, Bash, Nodejs. Fave is one of Southeast Asia’s fastest growing start-ups....;6 days ago
p_32e06d46f05c0057;Engineering - Developer Experience (DX);/rc/clk?jk=32e06d46f05c0057&fccid=bcb5f1a732fc556e&vjs=3;KFit;Kuala Lumpur;Experience with coding in Python, Ruby, Bash, Nodejs. Fave is one of Southeast Asia’s fastest growing start-ups....;6 days ago
p_d7bbadb83e0c457a;Full Stack Developer;/rc/clk?jk=d7bbadb83e0c457a&fccid=a3b9f57a6347c728&vjs=3;Ascension Lab Malaysia;Petaling Jaya;About You We are looking for an accomplished developer who understands every technical requirement of delivering a complex consumer web...;6 days ago
p_04e177c911e47212;Data Analyst;/rc/clk?jk=04e177c911e47212&fccid=f64666d8aaf47850&vjs=3;Consurv Technic;Malaysia;Net, C, C++, C#, Java, Spark, R, Python, or others. Develop and implement database systems....;9 days ago
p_a0f7ec1af0d34b22;Computer Vission Engineering;/company/Trakomatic-Sdn-Bhd/jobs/Computer-Vission-Engineering-a0f7ec1af0d34b22?fccid=5fec50ca16aed1d7&vjs=3;Trakomatic Sdn Bhd;Kuala Lumpur;As a Computer Vision Engineer, you will work on projects directly related to Trakomatic's core product line. Our products focus on human tracking, facial...;12 days ago
p_9fd2033b832f43bf;R&D Software Developer;/company/Tentacle-Technologies/jobs/R&D-Software-Developer-9fd2033b832f43bf?fccid=0467f81dc0f9d17d&vjs=3;Tentacle Technologies;Kuala Lumpur;Good programming experience in Python, C++. Here at Tentacle Tech, We are hiring experienced Software Developers to join our growing R&D team....;12 days ago
p_8d892f21d39ba8d9;Systems Administrator;/rc/clk?jk=8d892f21d39ba8d9&fccid=02c811688545ab89&vjs=3;Symantec;Kuala Lumpur;Bash, PERL, Ruby, Python, etc. Symantec has a need for a Senior Linux/UNIX Systems Administrator with the ability to complete assignments in a high volume,...;13 days ago
p_ee7fb38a4bbbf42c;Back End Developer;/company/TFE-Global/jobs/Back-End-Developer-ee7fb38a4bbbf42c?fccid=9f0a99e9006717c9&vjs=3;TFE Global;Shah Alam;Hands on experience with programming languages likeJava, Ruby, PHP and Python. TFE Global is looking for an experienced Back-end developer to join our IT team....;12 days ago
