id;text;link;comp;loc;desc;pub
p_31bc6d73e9020dae;PROCESS/FRONT END SENIOR ENGINEER;/rc/clk?jk=31bc6d73e9020dae&fccid=cd36fd752474c09a&vjs=3;Genesis Oil and Gas;Kuala Lumpur;Chemical or related Engineering Degree, Registered with BEM/IEM/IChemE. Background & Experience required....;2 days ago
p_d0640c5de8812ba3;PROCESS/FRONT END SENIOR ENGINEER;/rc/clk?jk=d0640c5de8812ba3&fccid=1f21273599e9ffba&vjs=3;TechnipFMC;Kuala Lumpur;Chemical or related Engineering Degree, Registered with BEM/IEM/IChemE. Background & Experience required....;2 days ago
p_f430e851d4b8edd5;Engr, Cust Supp 2;/rc/clk?jk=f430e851d4b8edd5&fccid=c8fc142c28286059&vjs=3;KLA-Tencor;Raub;May provide supervision to less senior engineers. Enabling the movement towards advanced chip design, KLA-Tencor's Global Products Group (GPG), which is...;2 days ago
p_b22336a6350f47ed;Engineer Part Time Required;/company/Soon-Ngai-Engineering-Sdn-Bhd/jobs/Engineer-b22336a6350f47ed?fccid=67d9da3dd68815fa&vjs=3;Soon Ngai Engineering Sdn Bhd;Cyberjaya;Mechanical and chemical engineering:. Preferable chemical or mechanical engineering from Dec 2018 to Feb 2019....;3 days ago
p_8df186723088ac22;Engineer Process Improvement;/rc/clk?jk=8df186723088ac22&fccid=f087613ae4dde9d5&vjs=3;SallcoSearch;Malaysia;MNC Chemical plant looking for a seasoned Technical ManagerEngineer. To develop and implement Process Improvement and Maintenance Excellence program....;3 days ago
p_46f2c04662a5ac3f;Facility Engineer;/rc/clk?jk=46f2c04662a5ac3f&fccid=e145a4204aee6fa7&vjs=3;Sunpower;Melaka;Minimum Bachelor’s Degree in Engineering, ie. Mechanical, Materials, Electrical, Chemicals, Electronics, or relevant field....;3 days ago
p_47085f063c765986;SERVICE & COMMISSIONING ENGINEER;/rc/clk?jk=47085f063c765986&fccid=b64df94def42d1b5&vjs=3;TRIDENT INNOVATIONS SDN BHD;Shah Alam;Diploma, Degree in chemical engineering or any related work. Plan and prepare for plant start up includes bacteria cultivation, bacteria seeding, plant check,...;3 days ago
p_120c5a9365d2b430;Control & Instrumentation Engineer;/rc/clk?jk=120c5a9365d2b430&fccid=f01c2f55ec3054bf&vjs=3;Robert Walters;Seremban;About the Control & Instrumentation Engineer role:. A world leading chemical products manufacturer is looking for a Control & Instrumentation Engineer to manage...;3 days ago
p_79556742e37bb391;WATER AND WASTEWATER SALES & MARKETING ENGINEER;/rc/clk?jk=79556742e37bb391&fccid=b64df94def42d1b5&vjs=3;TRIDENT INNOVATIONS SDN BHD;Shah Alam;Min Qualification - Bachelor Degree in chemical engineering/ Environmental Engineering or equivalent. Able in preparing the quotation / proposal upon client...;3 days ago
p_990c7369c58f9163;Sales Executive/Sales Manager;/rc/clk?jk=990c7369c58f9163&fccid=ed2125475138b97b&vjs=3;Reeracoen Malaysia;Shah Alam;Sales Engineer, Sales(Individual), Other(Sales) Industry. Bachelor's Degree in Chemical Engineering (preferred) on related field....;3 days ago
p_eee215004ae8c804;Packaging Process Engineer;/rc/clk?jk=eee215004ae8c804&fccid=d7d9a8241ba2f3ec&vjs=3;Cargill;Klang;Degree in Engineering (preferably in Chemical, Mechanical, Electrical or Industrial Engineering). Position Purpose & Summary....;4 days ago
p_17239766e10ab742;EHS Engineer;/rc/clk?jk=17239766e10ab742&fccid=e145a4204aee6fa7&vjs=3;Sunpower;Alor Gajah;The incumbent will be primarily responsible for emergency response, contractor safety, managment EHS walk, safety suggestion, chemical management (Safety Data...;4 days ago
p_449c2879be1dfa19;Senior Facility Engineer (RODI);/rc/clk?jk=449c2879be1dfa19&fccid=e145a4204aee6fa7&vjs=3;Sunpower;Alor Gajah;Degree in chemical engineering or related field of study. Involvement between Waste Water Treatment Plant and Total Gas & Chemical Management (TGCM)....;4 days ago
